Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
170,0.0,286.8,10,0,4,99.1,0.0
171,0.0,270.3,9,0,5,93.9,0.0
172,1805.2,224.2,10,0,3,98.0,0.0
173,0.0,286.0,9,0,4,93.5,0.0
174,0.0,262.9,9,0,4,95.2,0.0
175,1614.8,228.3,10,0,2,98.0,0.0
176,1297.6,202.3,6,0,0,41.4,0.0
177,0.0,203.6,6,0,0,42.8,0.0
178,0.0,202.9,6,0,0,44.2,0.0
179,0.0,202.0,6,0,0,45.7,0.0
180,0.0,199.6,5,0,0,36.2,0.0
181,0.0,174.7,5,0,0,37.3,0.0
182,0.0,173.1,5,0,0,38.7,0.0
183,0.0,173.3,5,0,0,39.9,0.0
184,0.0,172.4,5,0,0,41.1,0.0
185,0.0,172.0,5,0,0,42.5,0.0
186,0.0,171.1,5,0,0,43.8,0.0
187,0.0,170.9,5,0,0,45.0,0.0
188,0.0,170.2,5,0,0,46.4,0.0
189,0.0,158.0,4,0,0,36.2,0.0
190,0.0,140.2,4,0,0,37.2,0.0
191,0.0,143.6,4,0,0,38.3,0.0
192,0.0,143.2,4,0,0,39.4,0.0
193,0.0,136.7,3,0,0,29.0,0.0
194,0.0,110.3,3,0,0,29.9,0.0
195,0.0,110.1,3,0,0,30.6,0.0
196,0.0,109.7,3,0,0,31.5,0.0
197,0.0,92.7,2,0,0,20.9,0.0
198,0.0,75.3,2,0,0,21.5,0.0
199,0.0,75.1,2,0,0,21.9,0.0
200,0.0,55.4,1,0,0,11.0,0.0
